Position,Track Name,Artist,Streams,URL
1,In My Feelings,Drake,67499798,https://open.spotify.com/track/0bAkKNCQfWkexHFn7fIKns
1,In My Feelings,Drake,65825491,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
1,In My Feelings,Drake,60285459,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
1,"thank u, next",Ariana Grande,59975503,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
1,God\'s Plan,Drake,54891573,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
1,God\'s Plan,Drake,54061893,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
1,In My Feelings,Drake,53952698,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
1,God\'s Plan,Drake,53416337,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
1,God\'s Plan,Drake,51378259,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
1,God\'s Plan,Drake,49086805,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
1,God\'s Plan,Drake,47148714,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
1,"thank u, next",Ariana Grande,47098337,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
1,God\'s Plan,Drake,45893551,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
1,In My Feelings,Drake,45745903,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
1,"thank u, next",Ariana Grande,45530537,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
1,God\'s Plan,Drake,45168581,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
2,Psycho (feat. Ty Dolla $ign),Post Malone,45142484,https://open.spotify.com/track/65NwOZqoXny4JxqAPlfxRF
1,God\'s Plan,Drake,44495999,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
1,In My Feelings,Drake,43950715,https://open.spotify.com/track/0bAkKNCQfWkexHFn7fIKns
1,Nonstop,Drake,43697135,https://open.spotify.com/track/2Vx8E3K5icPZR7OCklWBXX
2,Don\xe2\x80\x99t Matter To Me,Drake,43314851,https://open.spotify.com/track/36ONiya0OANYknz0GgJmwB
1,God\'s Plan,Drake,42879151,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
1,Nice For What,Drake,41781391,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
1,Better Now,Post Malone,40788286,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
1,Call Out My Name,The Weeknd,40628023,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
1,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,40096470,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
1,MIA (feat. Drake),Bad Bunny,39639615,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
1,Nice For What,Drake,39556156,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
1,In My Feelings,Drake,39419339,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
2,God\'s Plan,Drake,38941068,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
2,no tears left to cry,Ariana Grande,38925971,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
2,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,38729117,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
2,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,38165586,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
1,SAD!,XXXTENTACION,38010231,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
